sentence,noun,is_character
"The fire said get away.","fire",1
"The man shouted.","man",1
"The tree stood tall.","tree",0
"The robot answered the question.","robot",1
"The chair was broken.","chair",0
"The dragon spoke softly.","dragon",1
"The wind howled.","wind",1
"The wall was cold.","wall",0
"The tree began to speak","tree",1
"The man in the poster was handsome","man",0
"The woman walked through the street","woman",1
"The king made a declaration","king",1
"The king's statue was beautiful","king",0
"The wind was steady","wind",0
"The donkey answered.","donkey",1
"The donkey statue was heavy.","donkey",0
"Arthur smiled.","Arthur",1
"Moneesh is going to the market","Moneesh",1
"The mother scolded her child","mother",1
"The starship's AI argued with the captain.","AI",1
"The AI's core was located in the basement.","AI",0
"The giant stomped toward the beanstalk.","giant",1
"The giant's footprints were filled with rain.","giant",0
"The android dreamed of electric sheep.","android",1
"The android's arm was sparking.","android",0
"The magic carpet refused to fly.","carpet",1
"The carpet was woven from silk.","carpet",0
"The nebula watched the travelers pass.","nebula",1
"The nebula was a swirl of purple gas.","nebula",0
"The frog prince begged for a kiss.","frog",1
"The frog jumped into the pond.","frog",0
"The spaceship groaned under the pressure.","spaceship",1
"The spaceship was built in the year 2300.","spaceship",0
"The unicorn bowed its head.","unicorn",1
"The unicorn's horn was made of ivory.","unicorn",0
"The holographic doctor checked the pulse.","hologram",1
"The hologram flickered and disappeared.","hologram",0
"The enchanted mirror reflected the truth.","mirror",1
"The mirror was hung in the queen's room.","mirror",0
"The Martian offered a hand in peace.","Martian",1
"The Martian landscape was red and barren.","Martian",0
"The clock struck midnight and laughed.","clock",1
"The clock was ten minutes fast.","clock",0
"The goblin bartered for the gold.","goblin",1
"The goblin's cave was cold and damp.","goblin",0
"The satellite transmitted a warning.","satellite",1
"The satellite orbited the planet.","satellite",0
"The beast growled at the intruders.","beast",1
"The beast's roar was heard for miles.","beast",0
"The potion bubbled and spoke a name.","potion",1
"The potion was stored in a glass vial.","potion",0
"The drone scanned the area for life.","drone",1
"The drone's battery was nearly dead.","drone",0
"The willow tree wept for the lost knight.","willow",1
"The willow tree provided shade.","willow",0
"The alien ship hummed a low melody.","ship",1
"The ship was shaped like a saucer.","ship",0
"The knight's armor complained with every step.","armor",1
"The armor was polished to a shine.","armor",0
"The cybernetic dog barked at the mailman.","dog",1
"The dog's collar was made of leather.","dog",0
"The bridge demanded a toll.","bridge",1
"The bridge spanned the wide river.","bridge",0
"The comet waved its tail across the sky.","comet",1
"The comet was visible every seventy years.","comet",0
"The siren sang a deadly song.","siren",1
"The siren's rocks were sharp and jagged.","siren",0
"Ajay decided to leave early.","Ajay",1
"The portrait of Ajay hung in the hall.","Ajay",0
"The baker kneaded the dough.","baker",1
"The baker's shop was closed for the winter.","baker",0
"The wolf lunged at the hunter.","wolf",1
"A wolf's howl echoed in the distance.","wolf",0
"The ocean roared in anger.","ocean",1
"The ocean was a deep shade of blue.","ocean",0
"The car groaned as it climbed the hill.","car",1
"The car was parked in the driveway.","car",0
"The mirror told her she was beautiful.","mirror",1
"The mirror was cracked in the corner.","mirror",0
"The storm screamed through the valley.","storm",1
"The storm lasted for three days.","storm",0
"The computer calculated the trajectory.","computer",1
"The computer was left on all night.","computer",0
"The shadows crept across the floor.","shadows",1
"The shadows were long in the afternoon.","shadows",0
"The statue wept for the fallen city.","statue",1
"The statue was carved from white marble.","statue",0
"The sword sang in the heat of battle.","sword",1
"The sword was blunt and rusted.","sword",0
"The house breathed a sigh of relief.","house",1
"The house was built in the late Victorian era.","house",0
"Sarah whispered a secret.","Sarah",1
"The book was written by Sarah.","Sarah",0
"The sun smiled down on the children.","sun",1
"The sun was blocked by heavy clouds.","sun",0
"The cat demanded its dinner.","cat",1
"The cat's fur was matted and dirty.","cat",0
"The mountain stood watch over the village.","mountain",1
"The mountain was difficult to climb.","mountain",0
"The scarecrow winked at the crow.","scarecrow",1
"The scarecrow was made of straw and old rags.","scarecrow",0
"The forest whispered ancient secrets.","forest",1
"The forest was dense and dark.","forest",0
"The robot sighed at the error.","robot",1
"The robot was made of recycled scrap metal.","robot",0
"The child laughed at the joke.","child",1
"The child's toy was lost in the park.","child",0
"The doll blinked her eyes.","doll",1
"The doll sat on the dusty shelf.","doll",0
"The engine coughed and died.","engine",1
"The engine was leaking oil.","engine",0
"The moon followed them home.","moon",1
"The moon was a thin crescent tonight.","moon",0
"The stranger tipped his hat.","stranger",1
"The stranger's name was unknown to all.","stranger",0
"The blacksmith hammered with fury.","blacksmith",1
"The blacksmith's forge was glowing red.","blacksmith",0
"The taxi driver cursed the traffic.","driver",1
"The driver's license had expired.","driver",0
"The knight charged toward the line.","knight",1
"The knight's shield was dented.","knight",0
